"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Rep. Congo","iNEXT",119,190.90816326530611,24.80834522858094,142.2847001012514,239.53162642936084,"784",NA,17
"Sri Lanka","iChao",NA,197.75,NA,173.867,239.532,"5609",16.239,20
"Sri Lanka","iNEXT",142,200.76300578034682,19.782585862822287,161.98984996814391,239.53616159254972,"3979",NA,20
"Sri Lanka","iNEXT",142,197.11304489264802,21.71042042609674,154.56140276827568,239.66468701702036,"4611",NA,20
"Suriname","iChao",NA,207.697,NA,186.872,239.679,"841",13.225,21
"Vietnam","iChao",NA,197.479,NA,169.901,239.71,"680",17.487,24
"Liberia","iNEXT",110,194.18933823529412,23.239682791646846,148.64039695153105,239.7382795190572,"272",NA,12
"Liberia","iChao",NA,191.616,NA,161.335,239.757,"268",19.58,12
"Senegal","iNEXT",143,200.88658445440956,19.84496983981871,161.9911582940813,239.78201061473783,"446",NA,19
"Uruguay","iChao",NA,162.574,NA,124.383,239.784,"915",28.041,23
"Nicaragua","iChao",NA,220.932,NA,208.014,239.808,"3863",7.994,15
"Guernsey","iNEXT",112,182.46991139552057,29.260879871315502,125.11964069178919,239.82018209925195,"478",NA,9
"CAR","iChao",NA,174.344,NA,137.289,239.833,"315",25.33,4
"Lao","iNEXT",118,194.358595194085,23.224541228339625,148.83933082907373,239.8778595590963,"541",NA,12
"Lao","iChao",NA,188.902,NA,159.246,239.88,"635",19.978,12
"Belize","iChao",NA,209.22,NA,190.783,239.892,"2767",12.208,3
"Iraq","iChao",NA,190.552,NA,159.523,239.91,"308",20.07,10
"Gabon","iNEXT",175,210.5477924232648,14.989096807227407,181.1697025203148,239.92588232621483,"1142",NA,8
"Rwanda","iNEXT",51,115.90066225165562,63.280130539620956,0,239.92743904630584,"151",NA,18
"Sri Lanka","iNEXT",142,197.2137981744422,21.794194613060196,154.49796166078735,239.92963468809702,"4930",NA,20
"Jersey","iChao",NA,193.561,NA,165.12,239.932,"1046",18.635,11
"Liberia","iChao",NA,192.882,NA,162.858,239.959,"249",19.274,12
"Vietnam","iChao",NA,190.472,NA,161.063,239.966,"1074",19.592,24
"Togo","iNEXT",75,172.86572890025576,34.253058904861696,105.73096708639785,240.00049071411365,"92",NA,22
"Sri Lanka","iChao",NA,206.815,NA,184.859,240.019,"3822",13.832,20
"Sierra Leone","iNEXT",87,183.56052631578947,28.806379853565552,127.10105927782081,240.01999335375814,"152",NA,19
"Nicaragua","iNEXT",180,212.10321558342213,14.247833649248827,184.17797477317654,240.0284563936677,"4067",NA,15
"Vietnam","iNEXT",118,185.4318181818182,27.896381846924157,130.7559144628699,240.10772190076648,"990",NA,24
"Benin","iChao",NA,119.752,NA,74.406,240.123,"187",38.607,3
"Belize","iNEXT",163,207.42896935933146,16.69273963370303,174.7118008739692,240.14613784469373,"2872",NA,3
